Event_start_demidecade,upr_demidecade,xlab,reported_deaths,reported_cases,reported_events,model_year,log_fitDeath,logPIlwr_Death,logPIupr_Death,log_fitDeathCovid,logPIlwr_DeathCovid,logPIupr_DeathCovid,fitDeath,lwrDeathPI,uprDeathPI,fitDeathCovid,lwrDeathPICovid,uprDeathPICovid,log_fitEvent,logPIlwr_Event,logPIupr_Event,fitEvent,lwrEventPI,uprEventPI
1960,1964,1960 - 1964,114,514,1,0,0.724145424160767,-2.05374673752995,3.50203758585149,0.33650315502129,-2.96893041439895,3.64193672444153,5.29840832190564,0.00883595026055217,3177.14902391095,2.17021696949714,0.00107416150798008,4384.66809665338,-0.0684347985033398,-0.998206833207755,0.861337236201076,0.854211082205514,0.100413745485538,7.26670008607343
1965,1969,1965 - 1969,13,41,2,5,0.956989617282275,-1.74485090450468,3.65883013906923,0.675067966998995,-2.55105248063227,3.90118841463026,9.05710947725269,0.017994885826433,4558.58586012497,4.7322531283282,0.0028115610576786,7965.04831698803,0.0602558926550145,-0.84406134256111,0.964573127871139,1.14883032973207,0.143198562207882,9.21665068533527
1970,1974,1970 - 1974,5,6,1,10,1.18983381040377,-1.44958811110097,3.82925573190851,1.01363277897673,-2.14611466656726,4.17338022452072,15.4822405332163,0.0355150057154247,6749.25336769013,10.3188851554149,0.00714307702849614,14906.6558327538,0.188946583813369,-0.69447888685259,1.07237205447933,1.54506439216948,0.202078966992734,11.8133223436157
1975,1979,1975 - 1979,455,655,6,15,1.42267800352528,-1.16894359030977,4.01429959736033,1.35219759095443,-1.75494634083273,4.4593415227416,26.4653720406481,0.0677729530903052,10334.7410037842,22.5007809098859,0.0175814082727546,28796.6204811511,0.317637274971723,-0.549789227652966,1.18506377759641,2.07796043868967,0.281975108440198,15.3131232350429
1980,1984,1980 - 1984,1,2,1,20,1.65552219664677,-0.903736567704155,4.2147809609977,1.69076240293214,-1.37825561954422,4.75978042540849,45.2399583734145,0.124814037576769,16397.6254062725,49.0639380058425,0.041854714172023,57514.9074665108,0.446327966130077,-0.410266563161301,1.30292249542146,2.79465348282113,0.388806428436085,20.0873430011411
1985,1989,1985 - 1989,1,1,1,25,1.88836638976828,-0.654556513417046,4.43128929295361,2.02932721490987,-1.01658620276148,5.07524063258122,77.3332727189664,0.221535580005864,26995.3705371739,106.986065162906,0.096252894241766,118916.093164863,0.575018657288439,-0.276108191477377,1.42614550605425,3.75853550607986,0.529531510524864,26.6775231873566
1990,1994,1990 - 1994,38,60,4,30,2.12121058288977,-0.421712320295553,4.6641334860751,2.36789202688757,-0.670280810499884,5.40606486427503,132.193646600264,0.378693350779364,46145.9388328608,233.287799639682,0.213658015126493,254721.06641309,0.703709348446793,-0.147417500319022,1.55483619721261,5.05486252134642,0.712168072403255,35.878658563683
1995,1999,1995 - 1999,552,869,9,35,2.35405477601128,-0.205203988339647,4.91331354036221,2.70645683886528,-0.339456578806073,5.75237025653663,225.972076275395,0.623441935705051,81905.5894892045,508.694261985008,0.457660489949611,565418.81560491,0.832400039605147,-0.0241944896862314,1.68899456889653,6.7982955245148,0.945813503744784,48.8646248500899
2000,2004,2000 - 2004,1871,10458,21,40,2.58689896913278,-0.00472262470227891,5.17852056296783,3.04502165084301,-0.0239963716333365,6.11403967331936,386.277106120084,0.989184665635027,150841.40292118,1109.23011223118,0.94624506685356,1300288.35550147,0.961090730763502,0.0936642281388118,1.82851723338819,9.14304233665441,1.24069270345549,67.3778631380932
2005,2009,2005 - 2009,290,695,18,45,2.81974316225428,0.180321240749538,5.45916508375903,3.38358646282072,0.276442531033559,6.49073039460787,660.302835517904,1.51468121988011,287849.237760731,2418.72482909307,1.88991612735765,3095497.05099912,1.08978142192186,0.206355951255895,1.97320689258782,12.2964973894425,1.60825885489361,94.0171089924255
2010,2014,2010 - 2014,12343,31444,18,50,3.05258735537578,0.350746833588821,5.75442787716273,3.72215127479845,0.562403829254469,6.88189872034243,1128.72294962629,2.24257426270623,568104.039273001,5274.13539748225,3.65093271564954,7619013.10088275,1.21847211308022,0.314154877864091,2.12278934829634,16.5375859020573,2.06136490504758,132.675076983331
2015,2019,2015 - 2019,2410,3800,16,55,3.28543154849729,0.50753938680656,6.06332371018801,4.06071608677615,0.834595639144896,7.28683653440741,1929.44120255649,3.21765433327665,1156974.29510137,11500.4831704662,6.83275170404812,19356932.4457987,1.34716280423857,0.417390769534154,2.27693483894299,22.2414350043072,2.61451278294036,189.20597148295
2020,2024,2020 - 2024,5310489,270030858,1,60,3.51827574161878,0.651783800210592,6.38476768302697,4.39928089875386,1.09384732933363,7.70471446817409,3298.19053945439,4.48522051811161,2425312.37664238,25077.3071198198,12.4121589732789,50665749.1042139,1.47585349539693,0.516426746734091,2.43528024405976,29.9125539834254,3.28417844776349,272.445879553429
2025,2029,2025 - 2029,,,,,3.75111993474029,0.784604172150117,6.71763569733046,4.73784571073159,1.34106521483571,8.13462620662747,5637.93331464753,6.08981601761856,5219581.67019348,54682.1662238314,21.931342376027,136340915.738894,1.60454418655528,0.611639049846351,2.59744932326421,40.2294584696564,4.08920656958531,395.775880044606
2030,2034,2030 - 2034,,,,,3.9839641278618,0.907114436928494,7.0608138187951,5.0764105227093,1.57719159429541,8.57562945112318,9637.4941593492,8.07447765324055,11503071.487753,119236.857795121,37.7738798239658,376382524.726348,1.73323487771363,0.703400517305076,2.76306923812219,54.1046855998512,5.05126923590593,579.521080177333
